b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14
1.837432609,0.141503004,0.280598706,0.508285533,0.037392339,0.440337521,0.982290763,0.014098896,0.437380412,0.418259862,0.194096926,0.519417027,0.282329627,0.948561523
1.31490243,0.593426526,0.477209948,0.043123325,0.950833653,0.231572617,0.545696173,0.04098114,0.876667377,0.991475168,0.303016187,0.259344908,0.35986278,0.172956327
1.361033551,0.88475268,0.055848011,0.634408881,0.79210531,0.562281349,0.643764952,0.07279994,0.111525658,0.271721256,0.071084664,0.237497014,0.515176787,0.970305539
1.349637429,0.575758655,0.63296545,0.005453778,0.00770215,0.665607913,0.469632334,0.375285747,0.032927368,0.964993498,0.218160518,0.336974976,0.489675995,0.878785824
1.064902636,0.636428908,0.003799735,0.023113831,0.504359014,0.738541378,0.195963322,0.811712572,0.79188957,0.930888788,0.813581341,0.505911041,0.859100366,0.635835697
1.553587807,0.777809408,0.077862389,0.060575019,0.803357453,0.423211146,0.187229266,0.489978847,0.420514138,0.970318426,0.95898154,0.426763228,0.175826018,0.306929167
1.251311774,0.303020802,0.225120471,0.1794206,0.494343106,0.321780635,0.287163163,0.247396024,0.866126489,0.845943915,0.382765528,0.412914742,0.630850043,0.327509043
2.211371211,0.966652122,0.409677516,0.284464273,0.410042168,0.649659887,0.10263798,0.16192227,0.532955925,0.414828162,0.845744024,0.96126218,0.547279995,0.252263957
2.653010514,0.210083878,0.670218246,0.47102162,0.494100564,0.974812979,0.750745532,0.85566664,0.341899646,0.905374249,0.26934156,0.760796494,0.680093339,0.944428479
2.466619025,0.571779715,0.350364274,0.782118447,0.467387284,0.092126656,0.334654657,0.084503968,0.016965824,0.308795528,0.742102904,0.307210236,0.930376491,0.990365394
2.246137218,0.971424618,0.219847809,0.464576604,0.53969698,0.372705374,0.28424091,0.804282756,0.767462341,0.525512808,0.979767553,0.866247351,0.111506593,0.654137506
2.531024273,0.006099014,0.844052402,0.838070743,0.685146562,0.378879581,0.991320016,0.57943267,0.639395779,0.591897993,0.008524057,0.529711747,0.441009643,0.642057363
2.357240721,0.173892101,0.795072989,0.671431072,0.894691266,0.166089955,0.145279226,0.767332184,0.582615601,0.034929181,0.180348951,0.633517437,0.054089106,0.586653248
2.69004166,0.203832545,0.06189193,0.681532758,0.887803849,0.41772459,0.008232678,0.470762552,0.721519053,0.183769558,0.58512177,0.801052849,0.474296798,0.200034333
2.291613798,0.319439556,0.159606824,0.675763744,0.481322948,0.832260673,0.100016158,0.570028711,0.59661523,0.118700982,0.766710507,0.898933893,0.64906876,0.641227855
2.310310356,0.645525812,0.173218856,0.529047309,0.542171846,0.634603159,0.826493118,0.645580278,0.357924436,0.250149969,0.520341255,0.103750976,0.525655823,0.927015322
2.998059472,0.614475265,0.498282985,0.430840987,0.098400516,0.470192626,0.197667409,0.735093117,0.885530364,0.88392511,0.19875187,0.51207791,0.912197786,0.17540609
2.09581967,0.693262788,0.017762873,0.514845164,0.27444936,0.455346047,0.154093518,0.061071083,0.078893603,0.677092536,0.188150066,0.536124813,0.412300069,0.119244234
2.547754565,0.462132668,0.621730673,0.769843227,0.408152077,0.640955292,0.172862831,0.082880668,0.527692209,0.831585812,0.208233563,0.045258709,0.828006346,0.344082915
3.214812587,0.068401829,0.438997168,0.672683086,0.819162258,0.182519193,0.338186401,0.75036731,0.925232369,0.885094981,0.816399172,0.350561195,0.715794026,0.547313504
3.894441907,0.004797581,0.112552261,0.9740183,0.877097002,0.680501053,0.624374738,0.162202248,0.24721287,0.631273958,0.508856425,0.707556327,0.780465541,0.070113043
3.329618515,0.09263456,0.423990035,0.059135787,0.392545736,0.594484121,0.80743627,0.249992971,0.952063252,0.729689582,0.154640101,0.8715486,0.804617002,0.2663253
3.720608877,0.3642493,0.08596553,0.984321199,0.186781642,0.330604515,0.89606096,0.736647547,0.484643013,0.455685225,0.822825836,0.45394133,0.123616908,0.280289754
3.178750761,0.049118218,0.153151302,0.751827455,0.573280857,0.455021284,0.434441527,0.426931106,0.629064182,0.676033623,0.936230516,0.559775714,0.792223287,0.190719309
3.298653538,0.193864075,0.682493917,0.693989048,0.342420076,0.953914388,0.12894564,0.788705979,0.709711492,0.088431705,0.885477997,0.526026496,0.839278771,0.724025856
3.126005429,0.531888379,0.196742003,0.855406754,0.591795423,0.057900328,0.959244488,0.154168497,0.488982278,0.394601174,0.280855341,0.762707709,0.471546355,0.85836008
3.300239125,0.992157064,0.750355445,0.285102605,0.275776975,0.669490728,0.666305213,0.180249044,0.53377251,0.707122279,0.999413667,0.595517849,0.374406061,0.808178154
4.680864702,0.7202868,0.547973688,0.193855625,0.106230743,0.930916158,0.086272876,0.551919022,0.009084815,0.850903307,0.290996265,0.227964117,0.309952647,0.786547805
4.296547224,0.494803612,0.305463977,0.606072884,0.999091826,0.836101486,0.912550902,0.63865486,0.317788068,0.415138948,0.831870837,0.149270082,0.659155664,0.642463176
4.225436576,0.783465233,0.179783267,0.115996685,0.544735533,0.076997249,0.133154236,0.473882087,0.354460772,0.374708725,0.390636092,0.278078265,0.223633916,0.539963652
4.213787828,0.524196526,0.851868054,0.865700427,0.062136904,0.871632345,0.920762881,0.37959807,0.006636538,0.600967408,0.375283718,0.449254013,0.589626863,0.51493189
4.124883591,0.838387145,0.747758162,0.872956369,0.377657402,0.564725806,0.766972044,0.760329826,0.354404076,0.069471517,0.647909252,0.411172847,0.324463075,0.519184514
4.773807436,0.628827834,0.47305602,0.82808101,0.170464448,0.256893892,0.061857828,0.267417936,0.754992534,0.694971024,0.936821969,0.018816017,0.222102165,0.953255458
4.328596762,0.555917615,0.119315042,0.08408636,0.108877775,0.487623223,0.124750199,0.81790799,0.529131298,0.007228189,0.49197493,0.187403806,0.190967329,0.042309445
4.736372251,0.398320277,0.805310658,0.948199335,0.055378009,0.765293053,0.197973788,0.241671712,0.618299172,0.217104875,0.719554068,0.684417123,0.403973004,0.486056168
4.420839601,0.665347546,0.52719351,0.075347695,0.13297785,0.197402176,0.196658098,0.372482855,0.876006296,0.808524251,0.02242992,0.048088442,0.281701049,0.563696434
4.2761034,0.659110107,0.673022037,0.157758469,0.833777537,0.636122677,0.327844691,0.480553866,0.929114716,0.243658452,0.458374946,0.927309076,0.127267336,0.740274164
4.553338079,0.40524157,0.0913144,0.283161772,0.855339485,0.195410228,0.742428502,0.245357403,0.038880527,0.168790087,0.606611097,0.629740001,0.018751214,0.950833864
4.284429496,0.207255417,0.356310149,0.212953014,0.514318102,0.700638649,0.785209046,0.728227361,0.618996683,0.17662732,0.432870253,0.199598664,0.662903906,0.853904628
4.520129734,0.779895841,0.813756466,0.840550045,0.119458737,0.745225338,0.982717125,0.618879473,0.682422612,0.085555881,0.848140892,0.94687479,0.971179036,0.232625646
4.182661429,0.450672354,0.602158193,0.028872475,0.85774786,0.097968524,0.911581358,0.39428608,0.038880656,0.416031194,0.122974051,0.400532709,0.866844876,0.536361055
